Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,Functional_variable,F1_Score
?e  gender  ?b  ?e  predecessor  ?a   ,?a  gender  ?b,0.108518086,0.505434783,0.869158879,93,184,107,?a,0.19294605755385796
?e  gender  ?b  ?e  successor  ?a   ,?a  gender  ?b,0.100350058,0.452631579,0.86,86,190,100,?a,0.1797283171091348
?b  mother  ?f  ?f  spouse  ?a   ,?a  successor  ?b,0.137426901,0.148734177,0.3671875,47,316,128,?a,0.20000000043969215
?b  predecessor  ?a  ?b  successor  ?a   ,?a  predecessor  ?b,0.028490028,1.0,1.0,10,10,10,?b,0.055401661123349266
?e  gender  ?b  ?e  mother  ?a   ,?a  gender  ?b,0.09218203,0.294776119,0.360730594,79,268,219,?a,0.14684014830209643
?f  gender  ?b  ?a  mother  ?f   ,?a  gender  ?b,0.103850642,0.271341463,0.370833333,89,328,240,?a,0.1622607112744844
?e  gender  ?b  ?e  parent  ?a   ,?a  gender  ?b,0.27537923,0.375198728,0.474849095,236,629,497,?a,0.3485967505886874
?a  mother  ?b  ?b  successor  ?a   ,?a  predecessor  ?b,0.022792023,0.727272727,1.0,8,11,8,?b,0.044568245522970805
?a  father  ?f  ?f  gender  ?b   ,?a  gender  ?b,0.208868145,0.407744875,0.575562701,179,439,311,?a,0.30650684965302766
?e  child  ?a  ?e  gender  ?b   ,?a  gender  ?b,0.201866978,0.157272727,0.604895105,173,1100,286,?a,0.30271216118455757
?e  father  ?a  ?e  gender  ?b   ,?a  gender  ?b,0.194865811,0.455040872,0.571917808,167,367,292,?a,0.2906875544018691
?a  predecessor  ?f  ?b  spouse  ?f   ,?a  predecessor  ?b,0.037037037,0.046099291,0.220338983,13,282,59,?b,0.06341463408994646
?a  mother  ?f  ?b  spouse  ?f   ,?a  predecessor  ?b,0.13960114,0.159090909,0.352517986,49,308,139,?b,0.20000000047185337
?f  child  ?a  ?b  spouse  ?f   ,?a  predecessor  ?b,0.162393162,0.041304348,0.156164384,57,1380,365,?b,0.15921787713383634
?a  child  ?f  ?f  gender  ?b   ,?a  gender  ?b,0.179696616,0.455621302,0.628571429,154,338,245,?a,0.27949183294901697
?a  parent  ?f  ?b  spouse  ?f   ,?a  predecessor  ?b,0.185185185,0.090655509,0.335051546,65,717,194,?b,0.23853210983884188
?f  gender  ?b  ?a  parent  ?f   ,?a  gender  ?b,0.298716453,0.341789052,0.478504673,256,749,535,?a,0.36781609217988465
?a  parent  ?f  ?b  predecessor  ?f   ,?a  predecessor  ?b,0.056980057,0.070422535,0.108695652,20,284,184,?b,0.07476635511621277
?a  father  ?f  ?b  predecessor  ?f   ,?a  predecessor  ?b,0.054131054,0.075098814,0.111111111,19,253,171,?b,0.0727969347235434
?a  predecessor  ?f  ?f  spouse  ?b   ,?a  predecessor  ?b,0.037037037,0.045454545,0.228070175,13,286,57,?b,0.06372549012413495
?a  father  ?f  ?b  spouse  ?f   ,?a  predecessor  ?b,0.022792023,0.020100503,0.2,8,398,40,?b,0.04092071644773386
?b  spouse  ?f  ?f  successor  ?a   ,?a  predecessor  ?b,0.037037037,0.046931408,0.228070175,13,277,57,?b,0.06372549012413495
?b  child  ?f  ?f  predecessor  ?a   ,?a  predecessor  ?b,0.068376068,0.078688525,0.121827411,24,305,197,?b,0.08759124052404897
?f  marriedTo  ?b  ?a  parent  ?f   ,?a  predecessor  ?b,0.011396011,0.363636364,0.8,4,11,5,?b,0.022471909342428355
?b  child  ?f  ?a  successor  ?f   ,?a  predecessor  ?b,0.051282051,0.060200669,0.110429448,18,299,163,?b,0.07003891027239625
?a  mother  ?f  ?f  spouse  ?b   ,?a  predecessor  ?b,0.13960114,0.155063291,0.362962963,49,316,135,?b,0.20164609095679012
?a  father  ?f  ?f  spouse  ?b   ,?a  predecessor  ?b,0.022792023,0.019753086,0.2,8,405,40,?b,0.04092071644773386
?e  parent  ?b  ?e  predecessor  ?a   ,?a  predecessor  ?b,0.05982906,0.056451613,0.111702128,21,372,188,?b,0.07792207814988934
?a  parent  ?f  ?f  spouse  ?b   ,?a  predecessor  ?b,0.173789174,0.085076709,0.327956989,61,717,186,?b,0.22718808205748883
?e  spouse  ?b  ?e  successor  ?a   ,?a  predecessor  ?b,0.037037037,0.046594982,0.224137931,13,279,58,?b,0.06356968209564745
?e  father  ?b  ?e  predecessor  ?a   ,?a  predecessor  ?b,0.054131054,0.094059406,0.117283951,19,202,162,?b,0.07407407402770083
?f  hasSpouse  ?b  ?a  successor  ?f   ,?a  hasSpouse  ?b,0.046343975,0.344827586,0.443349754,90,261,203,?a,0.08391608345726703
?f  hasSpouse  ?b  ?a  predecessor  ?f   ,?a  hasSpouse  ?b,0.048918641,0.36121673,0.44600939,95,263,213,?a,0.08816705405816463
?f  hasSpouse  ?b  ?a  mother  ?f   ,?a  hasSpouse  ?b,0.10092688,0.657718121,0.911627907,196,298,215,?a,0.1817338904634306
?e  child  ?a  ?e  spouse  ?b   ,?a  predecessor  ?b,0.148148148,0.035567715,0.129032258,52,1462,403,?b,0.1379310343816885
?e  hasSpouse  ?b  ?e  predecessor  ?a   ,?a  hasSpouse  ?b,0.049948507,0.360594796,0.447004608,97,269,217,?a,0.0898564154959377
?e  hasSpouse  ?b  ?e  successor  ?a   ,?a  hasSpouse  ?b,0.045314109,0.359183673,0.444444444,88,245,198,?a,0.0822429903735051
?e  hasSpouse  ?b  ?e  mother  ?a   ,?a  hasSpouse  ?b,0.088053553,0.633333333,0.9,171,270,190,?a,0.16041275791050166
?a  child  ?f  ?f  hasSpouse  ?b   ,?a  hasSpouse  ?b,0.118949537,0.353211009,0.456521739,231,654,506,?a,0.18872549073842856
?a  father  ?f  ?f  hasSpouse  ?b   ,?a  hasSpouse  ?b,0.125128733,0.588377724,0.796721311,243,413,305,?a,0.21628838409976572
?b  child  ?a  ?a  parent  ?b   ,?a  mother  ?b,0.30617284,0.366863905,0.506122449,124,338,245,?a,0.3815384619276923
?e  father  ?a  ?e  hasSpouse  ?b   ,?a  hasSpouse  ?b,0.109165808,0.580821918,0.779411765,212,365,272,?a,0.19150858107676125
?b  spouse  ?f  ?f  successor  ?a   ,?a  mother  ?b,0.116049383,0.16967509,0.391666667,47,277,120,?a,0.17904761942040817
?f  hasSpouse  ?b  ?a  parent  ?f   ,?a  hasSpouse  ?b,0.167868177,0.62571977,0.829516539,326,521,393,?a,0.27922912184124427
?a  predecessor  ?f  ?b  spouse  ?f   ,?a  mother  ?b,0.120987654,0.173758865,0.422413793,49,282,116,?a,0.18809980766323436
?f  hasSpouse  ?b  ?a  spouse  ?f   ,?a  hasSpouse  ?b,0.223480947,0.748275862,1.0,434,580,434,?a,0.3653198646827804
?a  father  ?f  ?b  spouse  ?f   ,?a  mother  ?b,0.538271605,0.547738693,0.773049645,218,398,282,?a,0.6346433769129116
?a  parent  ?f  ?b  spouse  ?f   ,?a  mother  ?b,0.55308642,0.312412831,0.421845574,224,717,531,?a,0.47863247847522183
?a  predecessor  ?f  ?f  spouse  ?b   ,?a  mother  ?b,0.120987654,0.171328671,0.404958678,49,286,121,?a,0.1863117867248912
?e  spouse  ?b  ?e  successor  ?a   ,?a  mother  ?b,0.120987654,0.17562724,0.39516129,49,279,124,?a,0.18525519807597887
?a  parent  ?f  ?f  spouse  ?b   ,?a  mother  ?b,0.548148148,0.309623431,0.414179104,222,717,536,?a,0.47183846934826157
?a  father  ?b  ?b  successor  ?a   ,?a  parent  ?b,0.080508475,0.844444444,0.915662651,76,90,83,?b,0.14800389556054494
?e  hasSpouse  ?b  ?e  spouse  ?a   ,?a  hasSpouse  ?b,0.224510814,0.760907504,1.0,436,573,436,?a,0.36669470197100273
?b  child  ?a  ?b  successor  ?a   ,?a  parent  ?b,0.068855932,0.537190083,0.607476636,65,121,107,?b,0.12369172185126756
?a  father  ?f  ?f  spouse  ?b   ,?a  mother  ?b,0.558024691,0.558024691,0.78200692,226,405,289,?a,0.651296829583316
?f  child  ?a  ?b  spouse  ?f   ,?a  mother  ?b,0.259259259,0.076086957,0.347682119,105,1380,302,?a,0.29702970272522705
?f  name  ?b  ?a  name  ?f   ,?a  name  ?b,0.011382114,1.0,1.0,7,7,7,?a,0.02250803893492623
?b  child  ?a  ?a  predecessor  ?b   ,?a  parent  ?b,0.064618644,0.491935484,0.554545455,61,124,110,?b,0.11574952551783214
?e  hasSpouse  ?b  ?e  parent  ?a   ,?a  hasSpouse  ?b,0.20030896,0.6078125,0.825902335,389,640,471,?a,0.32242022396649145
?e  name  ?a  ?e  name  ?b   ,?a  name  ?b,0.011382114,0.012259194,1.0,7,571,7,?a,0.02250803893492623
?e  child  ?a  ?e  spouse  ?b   ,?a  mother  ?b,0.29382716,0.081395349,0.375394322,119,1462,317,?a,0.3296398889759056
?b  spouse  ?f  ?f  successor  ?a   ,?a  parent  ?b,0.0625,0.21299639,0.36196319,59,277,163,?b,0.10659439926934534
?a  mother  ?f  ?b  spouse  ?f   ,?a  parent  ?b,0.236228814,0.724025974,0.888446215,223,308,251,?b,0.37322175785986805
?a  predecessor  ?f  ?b  spouse  ?f   ,?a  parent  ?b,0.064618644,0.216312057,0.350574713,61,282,174,?b,0.10912343462542043
?a  father  ?f  ?b  spouse  ?f   ,?a  parent  ?b,0.236228814,0.560301508,0.805054152,223,398,277,?b,0.3652743658398341
?f  child  ?a  ?b  spouse  ?f   ,?a  parent  ?b,0.25529661,0.174637681,0.251828631,241,1380,957,?b,0.2535507626024117
?e  child  ?a  ?e  hasSpouse  ?b   ,?a  hasSpouse  ?b,0.139546859,0.285864979,0.310779817,271,948,872,?a,0.19260838681892697
?f  predecessor  ?b  ?a  predecessor  ?f   ,?a  parent  ?b,0.022245763,0.07266436,0.132075472,21,289,159,?b,0.03807796960962807
?a  predecessor  ?f  ?f  spouse  ?b   ,?a  parent  ?b,0.068855932,0.227272727,0.357142857,65,286,182,?b,0.11545293043486902
?a  parent  ?f  ?b  spouse  ?f   ,?a  parent  ?b,0.483050847,0.635983264,0.838235294,456,717,544,?b,0.6129032254066366
?a  mother  ?f  ?f  spouse  ?b   ,?a  parent  ?b,0.237288136,0.708860759,0.885375494,224,316,253,?b,0.37426900634758997
?a  father  ?f  ?f  spouse  ?b   ,?a  parent  ?b,0.245762712,0.572839506,0.811188811,232,405,286,?b,0.37723577249704277
?e  spouse  ?b  ?e  successor  ?a   ,?a  parent  ?b,0.066737288,0.225806452,0.357954545,63,279,176,?b,0.11249999978489798
?a  successor  ?f  ?f  type  ?b   ,?a  type  ?b,0.108043217,0.746887967,1.0,180,241,180,?a,0.1950162508869002
?a  predecessor  ?f  ?f  type  ?b   ,?a  type  ?b,0.105642257,0.765217391,1.0,176,230,176,?a,0.19109663425246598
?a  parent  ?f  ?f  spouse  ?b   ,?a  parent  ?b,0.481991525,0.634588563,0.828779599,455,717,549,?b,0.6095110511618174
?a  mother  ?f  ?f  type  ?b   ,?a  type  ?b,0.141056423,0.746031746,1.0,235,315,235,?a,0.24723829629588787
?e  mother  ?a  ?e  type  ?b   ,?a  type  ?b,0.12364946,0.777358491,1.0,206,265,206,?a,0.22008547042776136
?e  predecessor  ?a  ?e  type  ?b   ,?a  type  ?b,0.106842737,0.741666667,1.0,178,240,178,?a,0.19305856817489328
?b  spouse  ?a  ?b  successor  ?a   ,?a  spouse  ?b,0.010575793,1.0,1.0,9,9,9,?b,0.02093023219684424
?e  child  ?a  ?e  spouse  ?b   ,?a  parent  ?b,0.257415254,0.16621067,0.241791045,243,1462,1005,?b,0.2493586454669332
?a  father  ?f  ?f  type  ?b   ,?a  type  ?b,0.178271309,0.740648379,1.0,297,401,297,?a,0.3025980648740383
?b  spouse  ?a  ?a  successor  ?b   ,?a  spouse  ?b,0.010575793,1.0,1.0,9,9,9,?b,0.02093023219684424
?e  successor  ?a  ?e  type  ?b   ,?a  type  ?b,0.102040816,0.787037037,1.0,170,216,170,?a,0.18518518464746228
?a  parent  ?f  ?f  type  ?b   ,?a  type  ?b,0.223889556,0.735700197,1.0,373,507,373,?a,0.3658656206393839
?e  father  ?a  ?e  type  ?b   ,?a  type  ?b,0.156662665,0.737288136,1.0,261,354,261,?a,0.2708873896262572
?e  spouse  ?a  ?e  type  ?b   ,?a  type  ?b,0.258703481,0.749565217,1.0,431,575,431,?a,0.4110634234434123
?a  child  ?f  ?f  type  ?b   ,?a  type  ?b,0.180072029,0.759493671,1.0,300,395,300,?a,0.30518819966031074
?a  child  ?f  ?b  child  ?f   ,?a  spouse  ?b,0.190364277,0.248085758,0.325955734,162,653,497,?b,0.2403560827198476
?a  spouse  ?f  ?f  type  ?b   ,?a  type  ?b,0.258703481,0.756140351,1.0,431,570,431,?a,0.4110634234434123
?b  child  ?f  ?a  successor  ?f   ,?a  spouse  ?b,0.066980024,0.190635452,0.234567901,57,299,243,?b,0.10420475377908586
?b  child  ?f  ?f  predecessor  ?a   ,?a  spouse  ?b,0.064629847,0.180327869,0.223577236,55,305,246,?b,0.1002734728442666
?b  child  ?f  ?f  mother  ?a   ,?a  spouse  ?b,0.104582844,0.340996169,0.429951691,89,261,207,?b,0.16824196635822306
?b  child  ?f  ?f  father  ?a   ,?a  spouse  ?b,0.121034078,0.367857143,0.479069767,103,280,215,?b,0.1932457791418411
?f  parent  ?a  ?b  successor  ?f   ,?a  spouse  ?b,0.0693302,0.15902965,0.283653846,59,371,208,?b,0.11142587375719072
?f  mother  ?a  ?b  successor  ?f   ,?a  spouse  ?b,0.055229142,0.291925466,0.5,47,161,94,?b,0.09947089916977017
?a  child  ?f  ?b  successor  ?f   ,?a  spouse  ?b,0.059929495,0.170568562,0.265625,51,299,192,?b,0.09779482301035346
?e  parent  ?a  ?e  type  ?b   ,?a  type  ?b,0.280912365,0.752411576,1.0,468,622,468,?a,0.4386129335241447
?f  parent  ?b  ?a  successor  ?f   ,?a  spouse  ?b,0.072855464,0.167115903,0.227106227,62,371,273,?b,0.11032028450175878
?f  mother  ?b  ?a  successor  ?f   ,?a  spouse  ?b,0.057579318,0.304347826,0.429824561,49,161,114,?b,0.1015544034356337
?a  child  ?e  ?e  predecessor  ?b   ,?a  spouse  ?b,0.05640423,0.157377049,0.25,48,305,192,?b,0.0920421855794876
?e  child  ?a  ?e  type  ?b   ,?a  type  ?b,0.463385354,0.770459082,1.0,772,1002,772,?a,0.6333059883828795
?e  parent  ?b  ?e  predecessor  ?a   ,?a  spouse  ?b,0.07520564,0.172043011,0.229390681,64,372,279,?b,0.11327433580289921
?b  child  ?f  ?f  parent  ?a   ,?a  spouse  ?b,0.23266745,0.36,0.45412844,198,550,436,?b,0.3076923075566978
?e  parent  ?a  ?e  predecessor  ?b   ,?a  spouse  ?b,0.071680376,0.163978495,0.289099526,61,372,211,?b,0.11487758941240456
?e  mother  ?a  ?e  predecessor  ?b   ,?a  spouse  ?b,0.057579318,0.30625,0.52688172,49,160,93,?b,0.1038135585840949
?a  child  ?f  ?f  mother  ?b   ,?a  spouse  ?b,0.112808461,0.367816092,0.47761194,96,261,201,?b,0.18250950615991446
